"","ds","dep_var","trend","season","holiday","tv_S","ooh_S","print_S","facebook_S","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,1625565.15679441,685130.778440399,0,45086.5360910211,39741.3635379905,36060.4528622725,44384.2522538443,0,2475968.53997993,"1_43_9",3,FALSE
"2",2016-01-11,2464131.66666667,1626666.6612119,489755.457115905,0,24613.7901874316,25783.9089432202,69716.1636201085,46323.6552108618,0,2282859.63628943,"1_43_9",3,FALSE
"3",2016-01-18,2012520,1627768.16565719,318682.674185954,0,11130.3384610294,14863.2249169451,28739.0837999002,44290.4798087875,0,2045473.9668298,"1_43_9",3,FALSE
"4",2016-01-25,1738911.66666667,1628869.67010247,236128.691383924,0,4921.3774349245,7880.47225441645,45767.1907080269,41370.7071642275,0,1964938.10904799,"1_43_9",3,FALSE
"5",2016-02-01,1772306.66666667,1629971.17454776,202636.962785597,0,13085.2361803447,18415.1077129801,13162.2703957873,6741.14129271104,0,1884011.89291518,"1_43_9",3,FALSE
"6",2016-02-08,1809058.33333333,1631072.67899305,149521.60108793,0,5804.43831754572,10025.3116106805,19978.3361984177,43690.5450529,0,1860092.91126052,"1_43_9",3,FALSE
"7",2016-02-15,1952740,1632174.18343833,58791.174203298,0,86561.3682363109,5132.95600491557,13154.0466825265,31356.7472332944,0,1827170.47579868,"1_43_9",3,FALSE
"8",2016-02-22,1507805,1633275.68788362,-42801.4882031435,0,43702.343034874,2539.90534916606,2679.68051725324,4684.88593015595,0,1644081.01451193,"1_43_9",3,FALSE
"9",2016-02-29,1510391.66666667,1634377.19245976,-140158.856483705,0,83016.3192953743,1234.84698177148,499.137829872035,37767.5838616504,0,1616736.22394472,"1_43_9",3,FALSE
"10",2016-03-07,1588840,1635478.6970359,-245303.230238859,0,41635.0223859842,595.123115042279,52478.0697054809,5959.71408230871,0,1490843.39608586,"1_43_9",3,FALSE
"11",2016-03-14,1605990,1636580.20161204,-358038.654329425,0,45778.260223098,17954.525037085,16489.2942110306,735.440929801718,0,1359499.06768363,"1_43_9",3,FALSE
"12",2016-03-21,1356010,1637681.70618818,-445922.043021564,22871.0091900743,21466.0232684447,9740.72025941498,3462.39178523267,87.6179701042821,0,1249387.42563988,"1_43_9",3,FALSE
"13",2016-03-28,2103936.66666667,1638783.21076432,-487290.903592687,943937.479956956,9655.73321264478,23008.4526688026,46247.3248580631,53592.1819794029,0,2227933.4798475,"1_43_9",3,FALSE
"14",2016-04-04,1120835,1639884.71534046,-517645.489229698,0,4259.02560422748,12975.613860678,13381.4660622389,10613.5609197737,0,1163468.89255768,"1_43_9",3,FALSE
"15",2016-04-11,1141140,1640986.21991659,-597941.194125019,0,1862.09578600898,23567.0007837082,2731.56465839027,1352.88315681378,0,1072558.5701765,"1_43_9",3,FALSE
"16",2016-04-18,1166880,1642087.72360536,-727926.641582863,0,5535.75116382615,13348.8767638737,509.018117521828,37356.3670197077,0,970911.095087428,"1_43_9",3,FALSE
"17",2016-04-25,888806.666666667,1643189.22729413,-820137.974717434,282854.445201817,2425.33716105909,6999.68318088348,93.1601035957051,5873.65755774392,0,1121297.53578179,"1_43_9",3,FALSE
"18",2016-05-02,898873.333333333,1644290.73098289,-791066.894514031,-92088.3188209055,1057.22907963945,3508.51603228842,41979.3970661313,724.394162883146,0,808405.053988899,"1_43_9",3,FALSE
"19",2016-05-09,889373.333333334,1645392.23467166,-673523.250002169,0,459.835558273406,19404.6270748365,11521.9509859537,86.2955881015834,0,1003341.69387666,"1_43_9",3,FALSE
